time:30.634, x:231.404, y:-0.000, z:0.549, h:0.000
time:30.734, x:232.259, y:-0.000, z:0.549, h:0.000
time:30.834, x:233.039, y:-0.000, z:0.550, h:0.000
time:30.934, x:233.745, y:-0.000, z:0.550, h:0.000
time:31.034, x:234.380, y:-0.000, z:0.550, h:0.000
time:31.134, x:234.949, y:-0.000, z:0.550, h:0.000
time:31.234, x:235.459, y:0.000, z:0.550, h:0.000
time:31.334, x:235.915, y:0.000, z:0.549, h:-0.000
time:31.434, x:236.324, y:0.000, z:0.549, h:-0.000
time:31.534, x:236.691, y:0.000, z:0.549, h:-0.000
time:31.634, x:237.020, y:0.000, z:0.549, h:-0.000
time:31.734, x:237.312, y:0.000, z:0.549, h:-0.000
time:31.834, x:237.571, y:0.000, z:0.549, h:-0.000
time:31.934, x:237.810, y:-0.000, z:0.549, h:-0.000
time:32.034, x:238.026, y:-0.000, z:0.549, h:-0.000
time:32.134, x:238.216, y:0.000, z:0.549, h:-0.000
time:32.234, x:238.379, y:0.000, z:0.549, h:-0.000
time:32.334, x:238.519, y:0.000, z:0.549, h:-0.000
time:32.434, x:238.635, y:0.000, z:0.549, h:-0.000
time:32.534, x:238.729, y:0.000, z:0.549, h:-0.000
time:32.634, x:238.803, y:0.000, z:0.549, h:-0.000
time:32.734, x:238.857, y:-0.000, z:0.549, h:-0.000
time:32.834, x:238.893, y:-0.000, z:0.549, h:-0.000
time:32.934, x:238.912, y:-0.000, z:0.549, h:-0.000
time:33.034, x:238.916, y:-0.000, z:0.549, h:-0.000
time:33.134, x:238.915, y:-0.000, z:0.548, h:-0.000
time:33.234, x:238.914, y:-0.000, z:0.548, h:-0.000
time:33.334, x:238.914, y:-0.000, z:0.548, h:-0.000
time:33.434, x:238.914, y:-0.000, z:0.549, h:-0.000
time:33.534, x:238.914, y:-0.000, z:0.549, h:-0.000
time:33.634, x:238.914, y:-0.000, z:0.549, h:-0.000
time:33.734, x:238.914, y:-0.000, z:0.549, h:-0.000
time:33.834, x:238.914, y:-0.000, z:0.549, h:-0.000
time:33.934, x:238.914, y:-0.000, z:0.549, h:-0.000
time:34.034, x:238.914, y:-0.000, z:0.549, h:-0.000
time:34.134, x:238.914, y:-0.000, z:0.549, h:-0.000
time:34.234, x:238.914, y:-0.000, z:0.549, h:-0.000
time:34.334, x:238.914, y:-0.000, z:0.549, h:-0.000
time:34.434, x:238.913, y:-0.000, z:0.549, h:-0.000
time:34.534, x:238.913, y:-0.000, z:0.549, h:-0.000
time:34.634, x:238.913, y:-0.000, z:0.549, h:-0.000
time:34.734, x:238.913, y:-0.000, z:0.549, h:-0.000
time:34.834, x:238.913, y:-0.000, z:0.549, h:-0.000
time:34.934, x:238.913, y:-0.000, z:0.549, h:-0.000
time:35.034, x:238.913, y:-0.000, z:0.549, h:-0.000
time:35.134, x:238.913, y:-0.000, z:0.549, h:-0.000
time:35.234, x:238.913, y:-0.000, z:0.549, h:-0.000
time:35.334, x:238.913, y:-0.000, z:0.549, h:-0.000
time:35.434, x:238.913, y:0.000, z:0.549, h:-0.000
time:35.534, x:238.913, y:0.000, z:0.549, h:-0.000
time:35.634, x:238.913, y:0.000, z:0.549, h:-0.000
time:35.734, x:238.913, y:0.000, z:0.549, h:-0.000
time:35.834, x:238.913, y:0.000, z:0.549, h:-0.000
time:35.934, x:238.913, y:0.000, z:0.549, h:-0.000
time:36.034, x:238.913, y:0.000, z:0.549, h:-0.000
time:36.134, x:238.913, y:0.000, z:0.549, h:-0.000
time:36.234, x:238.913, y:0.000, z:0.549, h:-0.000
time:36.334, x:238.913, y:0.000, z:0.549, h:-0.000
time:36.434, x:238.913, y:0.000, z:0.549, h:-0.000
time:36.534, x:238.911, y:-0.000, z:0.548, h:-0.000
time:36.634, x:238.899, y:-0.000, z:0.548, h:-0.000
time:36.734, x:238.862, y:-0.000, z:0.548, h:-0.000
time:36.834, x:238.800, y:-0.000, z:0.547, h:-0.000
time:36.934, x:238.713, y:-0.000, z:0.547, h:-0.000
time:37.034, x:238.604, y:0.000, z:0.547, h:-0.000
